text,text_clean,label,label_int,has_tamil_script,is_code_switched,text_length,word_count
Ultimate star Ajithkumar vera level  MASS,Ultimate star Ajithkumar vera level MASS,0,,False,False,40,6
Thalaivaa Pakka massssss only one super star,Thalaivaa Pakka masss only one super star,0,,False,False,41,7
Hyy ethu Telugu movie rangastalam thane...,Hyy ethu Telugu movie rangastalam thane...,1,,False,False,42,6
Trailer mudiyuravarai remake thana nu thonite irukku...  Oru feel e illa...,Trailer mudiyuravarai remake thana nu thonite irukku... Oru feel e illa...,0,,False,False,74,11
Gvprakash nee nadikirayo illayo varusathuku 2 padamaavathu music compose panniru..Bgm vera level ah irukku..Songs also,Gvprakash nee nadikirayo illayo varusathuku 2 padamaavathu music compose panniru..Bgm vera level ah irukku..Songs also,0,,False,False,118,15
Ajith ayo sema va thala va thala,Ajith ayo sema va thala va thala,0,,False,True,32,7
Akshay Kumar king of Bollywood akki paaji best of luck khiladi kumar,Akshay Kumar king of Bollywood akki paaji best of luck khiladi kumar,4,,False,False,68,12
Ennada Siva and team edutha movie maari iruku..,Ennada Siva and team edutha movie maari iruku..,2,,False,False,47,8
Karthik subbaraj dheivame thalaivara thirimba kuduthadhuku kodaana kodi nandri,Karthik subbaraj dheivame thalaivara thirimba kuduthadhuku kodaana kodi nandri,0,,False,False,78,9
Today NKP trailer yarellam paaka vanthenga,Today NKP trailer yarellam paaka vanthenga,0,,False,False,42,6
Last pose uh semma mass uh...,Last pose uh semma mass uh...,0,,False,False,29,6
"Ayyo thala mass,,marana waiting,nee va thala,,","Ayyo thala mass,,marana waiting,nee va thala,,",0,,False,True,46,6
Onda vantha naye ooda ooda virativom engala jathila pirachathu pothum,Onda vantha naye ooda ooda virativom engala jathila pirachathu pothum,0,,False,False,69,10
Antha alavuku elam onum ela nu nenaikuravanga like panunga.,Antha alavuku elam onum ela nu nenaikuravanga like panunga.,0,,False,False,59,9
"Even, shankar la kuda rajiniku intha look kondu vara mudila .. karthik subaraj pinrapla","Even, shankar la kuda rajiniku intha look kondu vara mudila .. karthik subaraj pinrapla",0,,False,True,87,14
Wrong casting manju warrier.danush sir.....bad casting,Wrong casting manju warrier.danush sir...bad casting,0,,False,False,52,6
Aarrr bhai Hindi me re hoga ki nahai,Aarrr bhai Hindi me re hoga ki nahai,4,,False,False,36,8
Dhanush enaya Ivan manushaana paaah verithaanamana acting raa dei,Dhanush enaya Ivan manushaana paaah verithaanamana acting raa dei,0,,False,False,65,9
ராஜ்னி சூப்பர் ஸ்டார் Akshay is the best actor,ராஜ்னி சூப்பர் ஸ்டார் Akshay is the best actor,2,,True,True,46,8
1.m likes varuma  hit here...,1.m likes varuma hit here...,0,,False,False,28,5
250 Screens nu mela kedaichi irundha Kaithi dhan Mass pani irukum.,250 Screens nu mela kedaichi irundha Kaithi dhan Mass pani irukum.,0,,False,False,66,11
But did not beat sarkar vijay is best,But did not beat sarkar vijay is best,2,,False,False,37,8
NKP trailer Sema...  Thala voice vera level....,NKP trailer Sema... Thala voice vera level...,0,,False,False,45,7
wow thavala sema mass....padam oru pundaikum aagathu,wow thavala sema mass...padam oru pundaikum aagathu,0,,False,False,51,7
Unbelievable looking like Holly hood movie,Unbelievable looking like Holly hood movie,0,,False,False,42,6
"Last dialogue sema,,,,,actually niraya peru atha than pantrangaa","Last dialogue sema,,,actually niraya peru atha than pantrangaa",0,,False,False,62,8
Ani neega kalappitinga ponga orchestrationla summa pinnitunga. must use headphones,Ani neega kalappitinga ponga orchestrationla summa pinnitunga. must use headphones,0,,False,False,82,10
ippadi oru mass trailer aa irrukumendre athirpakkalea,ippadi oru mass trailer aa irrukumendre athirpakkalea,0,,False,False,53,7
Vera level  blockbuster  petta,Vera level blockbuster petta,0,,False,False,28,4
Intha padathula yaru hero .. SK ah illa arjun ah ..,Intha padathula yaru hero .. SK ah illa arjun ah ..,1,,False,False,51,11
SK Anna fans hit like here,SK Anna fans hit like here,0,,False,False,26,6
Trailer fantastic but Rajni voice la andha palaya gethu konjam kooda illa.,Trailer fantastic but Rajni voice la andha palaya gethu konjam kooda illa.,0,,False,True,74,12
First Day First Show Poravangalam Like pottuttu Ponga.....,First Day First Show Poravangalam Like pottuttu Ponga...,0,,False,False,56,8
1:32 vj Sethupathy ultimate mass intro..... Vj sethupathi fans like button ah adichu norukkunga...,1 32 vj Sethupathy ultimate mass intro... Vj sethupathi fans like button ah adichu norukkunga...,3,,False,False,96,15
11.6 Million views soon   ...,11.6 Million views soon ...,0,,False,False,27,5
Thala rasigan in vayalur pudhunagar SHACKARSH,Thala rasigan in vayalur pudhunagar SHACKARSH,0,,False,False,45,6
Viswasam BGM ah mix panni potrukar pola...,Viswasam BGM ah mix panni potrukar pola...,1,,False,False,42,7
Visssssss joli mudinchi kola gandula irukaru appadiya odiru,Visss joli mudinchi kola gandula irukaru appadiya odiru,1,,False,False,55,8
1:55 dai ungala thaan puritha ?,1 55 dai ungala thaan puritha ?,0,,False,False,31,7
Kaithi - like  Bigil - comment,Kaithi - like Bigil - comment,3,,False,False,29,6
Trailer Elam Nallathan Iruku ana MuGamoodi  Padam Mari Agama irundha Serithan!!,Trailer Elam Nallathan Iruku ana MuGamoodi Padam Mari Agama irundha Serithan!!,0,,False,False,78,11
AFTER TRENDING PETTA MORE VIEWS THAN VIS VASAM THALAVAR BACK ON FIRE,AFTER TRENDING PETTA MORE VIEWS THAN VIS VASAM THALAVAR BACK ON FIRE,0,,False,False,68,12
1.31 la..... Enga ranagalathulayum kilu kilupu kekudu?,1.31 la... Enga ranagalathulayum kilu kilupu kekudu?,2,,False,True,52,7
"Trailer pudiklana paakathenga, Athuku yengada dislike pandrenga..🤦‍🤦‍🤦‍🤦‍ loosu pasangala","Trailer pudiklana paakathenga, Athuku yengada dislike pandrenga.. loosu pasangala",0,,False,False,81,9
Ajith paraellama nadipenga epom rompa mosam,Ajith paraellama nadipenga epom rompa mosam,1,,False,False,43,6
GURU MASS... WAITING FOR SISHYAN GETHU...,GURU MASS... WAITING FOR SISHYAN GETHU...,0,,False,False,41,6
Podu thagida Petta Paraak  Kola Gaandla irukan,Podu thagida Petta Paraak Kola Gaandla irukan,0,,False,False,45,7
All d best from pspk fans,All d best from pspk fans,0,,False,False,25,6
new superstar is navajuddin siddiki,new superstar is navajuddin siddiki,0,,False,False,35,5
Thalapathy kaga paaka vanthavangala like podunga 🤩,Thalapathy kaga paaka vanthavangala like podunga,0,,False,False,48,6
Vera level hit aagum solravanga HIT LIKE,Vera level hit aagum solravanga HIT LIKE,0,,False,False,40,7
Trailer pakkamma like potta fans hit like,Trailer pakkamma like potta fans hit like,0,,False,False,41,7
Vitrakudathu 1 st place athula record pannuvom,Vitrakudathu 1 st place athula record pannuvom,0,,False,False,46,7
Indha padam tamil natuku Kandipa theva super thala,Indha padam tamil natuku Kandipa theva super thala,0,,False,False,50,8
"Tholiven bayam irudal dan, vetriku thudipu varum. chumma solren","Tholiven bayam irudal dan, vetriku thudipu varum. chumma solren",1,,False,False,63,9
Seththalum sanda pottu saganum kaal la vilundhu saaga koodathu ahimsaya pathi yaarachum pesuna naan athigama use panra dailogue ithu,Seththalum sanda pottu saganum kaal la vilundhu saaga koodathu ahimsaya pathi yaarachum pesuna naan athigama use panra dailogue ithu,0,,False,True,132,19
3 days..nkp still trending no 1,3 days..nkp still trending no 1,0,,False,False,31,6
Gv Prakash Kumar Is Back   ....,Gv Prakash Kumar Is Back ...,0,,False,False,28,6
Ever shankar sir.... great film maker...,Ever shankar sir... great film maker...,2,,False,False,39,6
757 k likes pangalinga adichi thookalamaa ‍‍‍‍,757 k likes pangalinga adichi thookalamaa,0,,False,False,41,6
All the best shankar sir& rajini garu ...From andhra powerstar pavan kalyan fans,All the best shankar sir rajini garu ...From andhra powerstar pavan kalyan fans,2,,False,False,79,13
Vera level thala.. u1 bgm eppavum pola masd,Vera level thala.. u1 bgm eppavum pola masd,0,,False,False,43,8
#NerKondaPaarvaiTrailer  #NerKondaPaarvaiTrailer  #NerKondaPaarvaiTrailer  #NerKondaPaarvaiTrailer  #NerKondaPaarvaiTrailer  #NerKondaPaarvaiTrailer  #NerKondaPaarvaiTrailer  #NerKondaPaarvaiTrailer  #NerKondaPaarvaiTrailer #NerKondaPaarvaiTrailer #NerKondaPaarvaiTrailer,NerKondaPaarvaiTrailer NerKondaPaarvaiTrailer NerKondaPaarvaiTrailer NerKondaPaarvaiTrailer NerKondaPaarvaiTrailer NerKondaPaarvaiTrailer NerKondaPaarvaiTrailer NerKondaPaarvaiTrailer NerKondaPaarvaiTrailer NerKondaPaarvaiTrailer NerKondaPaarvaiTrailer,0,,False,False,252,11
"Ayyo,🤗🤗🤗🤗🤗 eppo vara poguthu konjam quick ah sollungaiyya thalaiva iam waiting for 2.0","Ayyo, eppo vara poguthu konjam quick ah sollungaiyya thalaiva iam waiting for 2.0",0,,False,False,81,13
Ovvoru frame um art maary irukku S.THIRUNAVUKKARASU,Ovvoru frame um art maary irukku S.THIRUNAVUKKARASU,0,,False,False,51,7
Thala yah kondadum thalapathi rasigan. love you thala,Thala yah kondadum thalapathi rasigan. love you thala,0,,False,False,53,8
2:19--2:23   So  Funny,2 19--2 23 So Funny,3,,False,False,19,5
Enaku ennonamo nalaiku yarumey ena pakka varamatainga Vera level  dialogue  my kutty,Enaku ennonamo nalaiku yarumey ena pakka varamatainga Vera level dialogue my kutty,3,,False,False,82,12
Padam paathen. Aalu yennaaamaa nadikiraan ya..yabbaaa,Padam paathen. Aalu yennaaamaa nadikiraan ya..yabbaaa,0,,False,False,53,6
Ayooo... Thala marana mass.... No back ground bgm started... Ennala kantrol panna mudila,Ayooo... Thala marana mass... No back ground bgm started... Ennala kantrol panna mudila,2,,False,False,87,13
"One more movie - poor makkal, yella vevasayi, bad politician, drohi corporate, nallavanukku nalla hero, yuk movie......","One more movie - poor makkal, yella vevasayi, bad politician, drohi corporate, nallavanukku nalla hero, yuk movie...",1,,False,False,116,17
money money money money  niraya niraya niraya niraya,money money money money niraya niraya niraya niraya,0,,False,False,51,8
Vadakuran character namalu adukalam naren sariyana choice......,Vadakuran character namalu adukalam naren sariyana choice...,0,,False,False,60,7
panggaaligala 2 million likes varanum innum vegama like ah therika vidunka,panggaaligala 2 million likes varanum innum vegama like ah therika vidunka,0,,False,False,74,11
Dhanush sir ku Oscar award kedikum nu solravangga like pannuga,Dhanush sir ku Oscar award kedikum nu solravangga like pannuga,0,,False,False,62,10
SUER STR      RAJNI  THE SUPER  IS BACK,SUER STR RAJNI THE SUPER IS BACK,0,,False,False,32,7
Thalaiva semma thalaiva apa thalapathy 64 kandippa mass thaaan,Thalaiva semma thalaiva apa thalapathy 64 kandippa mass thaaan,0,,False,False,62,9
sirappana tharamana sambavangala inimey than paka pora!!!!!!! thalaivaaaaaaaa..,sirappana tharamana sambavangala inimey than paka pora!!! thalaivaaa..,0,,False,False,70,8
Semma ... dai ranjith inni mel thalaivar vechu padam edhutha ..,Semma ... dai ranjith inni mel thalaivar vechu padam edhutha ..,2,,False,False,63,11
Thalapathy record ah innum break pannala break panna mudiyathu,Thalapathy record ah innum break pannala break panna mudiyathu,1,,False,False,62,9
Sema thala thala thala  mass ha erukku,Sema thala thala thala mass ha erukku,0,,False,False,37,7
Vera level confirm super hit aagum,Vera level confirm super hit aagum,0,,False,False,34,6
Last dialogue ellarum kettingala trailer ah full ah parunga semma dialogue,Last dialogue ellarum kettingala trailer ah full ah parunga semma dialogue,0,,False,False,74,11
Very nice super star style  petta vetripura valluthukkal,Very nice super star style petta vetripura valluthukkal,0,,False,False,55,8
Yen trending la varala...kappan 5hr la vanthudichu,Yen trending la varala...kappan 5hr la vanthudichu,0,,False,True,50,7
Bgm lite ah kaththi bgm maari irrukula,Bgm lite ah kaththi bgm maari irrukula,1,,False,False,38,7
Echa vijay fans'ku serupadi tandaar enga thala(different role),Echa vijay fans'ku serupadi tandaar enga thala different role,1,,False,False,61,9
Ithula dislike panna enna iruku ?,Ithula dislike panna enna iruku ?,0,,False,False,33,6
maranna waiting  iam dhanush fan,maranna waiting iam dhanush fan,0,,False,False,31,5
Vera level i love u thalaivaa,Vera level i love u thalaivaa,1,,False,False,29,6
Wow wow wow wow super super super,Wow wow wow wow super super super,0,,False,False,33,7
Rajini siripa vida sethupathy siripu vera level thalaivan sethupathy,Rajini siripa vida sethupathy siripu vera level thalaivan sethupathy,0,,False,False,68,9
Super star Rajinikanth in Chitti avatar... WOW,Super star Rajinikanth in Chitti avatar... WOW,2,,False,False,46,7
Gv pesama nee music mattum podu pa itha maari bgm ketu romba naal achi,Gv pesama nee music mattum podu pa itha maari bgm ketu romba naal achi,0,,False,True,70,14
Vaiyiru yerinjavangalam dislikes poda aarambichutaanga seekram sethrunga da deii,Vaiyiru yerinjavangalam dislikes poda aarambichutaanga seekram sethrunga da deii,2,,False,True,80,9
Thala da vera yarume illa da,Thala da vera yarume illa da,0,,False,True,28,6
Anna Ajith vera level enga Thala pola enga yaru ma illa Thala daa,Anna Ajith vera level enga Thala pola enga yaru ma illa Thala daa,0,,False,True,65,13
6 days to go va va thalaivaaaa,6 days to go va va thalaivaaa,3,,False,True,29,7
Ennada ithu silldra punda thanama irukku appo flop than ama kunjus,Ennada ithu silldra punda thanama irukku appo flop than ama kunjus,1,,False,False,66,11
Make it 20 million views and 600 k likes Tmrw ...,Make it 20 million views and 600 k likes Tmrw ...,3,,False,False,49,11
"Kevala mana padam pengalai ilivu paduthum  padam totally Tamil culture ku oppadha padam ,,,,","Kevala mana padam pengalai ilivu paduthum padam totally Tamil culture ku oppadha padam ,,,",1,,False,False,90,14
Ayyo thala pakka pakka veri aagudhu,Ayyo thala pakka pakka veri aagudhu,0,,False,False,35,6
I'm VJS fan but  like Ajith sir 100 days poganum,I'm VJS fan but like Ajith sir 100 days poganum,0,,False,False,47,10
Thala fans kku semma treat irukku,Thala fans kku semma treat irukku,0,,False,False,33,6
U kena tggu lebih lama lagi utk tahu saya,U kena tggu lebih lama lagi utk tahu saya,4,,False,False,41,9
0:38 Rajini ku Ena da spelling,0 38 Rajini ku Ena da spelling,1,,False,True,30,7
"@0:21 oh man, Thala looking amazing","0 21 oh man, Thala looking amazing",0,,False,False,34,7
Rajani Sir gr8 man  agree hit like,Rajani Sir gr8 man agree hit like,0,,False,False,33,7
"Vera level movie ,, especially bgm","Vera level movie ,, especially bgm",0,,False,False,34,6
Mass sa iruku thala trailer la,Mass sa iruku thala trailer la,0,,False,True,30,6
Thalaaaa inum niraiya niraiya niraiya niraiya unka kida ethir pakurommmmmmmm movie la,Thalaaa inum niraiya niraiya niraiya niraiya unka kida ethir pakurommm movie la,0,,False,True,79,12
"Tha edhu dhan original thalaivar Padam , trailaruke kotti kudukalam, thalaivar yeppavume Maas dhan","Tha edhu dhan original thalaivar Padam , trailaruke kotti kudukalam, thalaivar yeppavume Maas dhan",0,,False,True,98,14
Rajini sir looks like power star Pawan Kalyan in love scenes,Rajini sir looks like power star Pawan Kalyan in love scenes,1,,False,False,60,11
Screenplay vera level laaa iruku.... Waiting to saw ..,Screenplay vera level laaa iruku... Waiting to saw ..,1,,False,False,53,9
Konj pathinkiru....odi othingiru ...vaarrraru thalaivaru.....petta paraak......,Konj pathinkiru...odi othingiru ...vaarrraru thalaivaru...petta paraak...,0,,False,False,73,6
Hindi me kab released hogaa yrr,Hindi me kab released hogaa yrr,4,,False,False,31,6
Thalaiva viswasam bgm and trailer ending Nkp vaa mothi paru song🤔🤔 ennayaaa ithu,Thalaiva viswasam bgm and trailer ending Nkp vaa mothi paru song ennayaaa ithu,1,,False,False,78,13
Last dialogue mass ... Sila per serupala avangale adichukoanga .... Thala da,Last dialogue mass ... Sila per serupala avangale adichukoanga ... Thala da,0,,False,True,75,12
THAALEE VERA LEVEL. ANTHA PUNDAI VIJAY POGA SOLLUNGA!!!,THAALEE VERA LEVEL. ANTHA PUNDAI VIJAY POGA SOLLUNGA!!!,1,,False,False,55,8
1.18 teejay  Yaar Ellam kavanichinga🤩  fans like here,1.18 teejay Yaar Ellam kavanichinga fans like here,0,,False,False,50,8
Adhula nadakavum nadakadhu... Mass scene....  Luv u Thala...,Adhula nadakavum nadakadhu... Mass scene... Luv u Thala...,2,,False,False,58,8
Waw.... nawaz and rajni...  Can't wait...,Waw... nawaz and rajni... Can't wait...,0,,False,False,39,6
Thalaivaaa nee vantha mattum podhum thanks to karthik annaa,Thalaivaaa nee vantha mattum podhum thanks to karthik annaa,0,,False,False,59,9
Petta : 56K dislikes Viswasm : 180K dislikes,Petta 56K dislikes Viswasm 180K dislikes,3,,False,False,40,6
Oruthar Mela nenga visavasam katurathukaha inorthara yen asinga paduthurenga - thala thalapathy fans,Oruthar Mela nenga visavasam katurathukaha inorthara yen asinga paduthurenga - thala thalapathy fans,0,,False,False,100,13
Is it Chintamani kola case in Tamil,Is it Chintamani kola case in Tamil,2,,False,False,35,7
I am Telugu but Vijay anna fan,I am Telugu but Vijay anna fan,3,,False,False,30,7
V V join pana semya erukum  Vetri maran and vijay,V V join pana semya erukum Vetri maran and vijay,0,,False,False,48,10
Trailer ah ivalo mokkaiya irukke aathadi,Trailer ah ivalo mokkaiya irukke aathadi,1,,False,False,40,6
Hahaha ena style ya kolla gaandlaruka,Hahaha ena style ya kolla gaandlaruka,0,,False,False,37,6
10.1M Views with 771k likes,10.1M Views with 771k likes,0,,False,False,27,5
Tamil walo is trailer ko itne views or like do ki sab dekhte rah jaye,Tamil walo is trailer ko itne views or like do ki sab dekhte rah jaye,4,,False,False,69,15
"comparinG,..Chitti rajini nallaa illai thane friends","comparinG,..Chitti rajini nallaa illai thane friends",0,,False,False,52,6
From Kerala  rajani fans,From Kerala rajani fans,2,,False,False,23,4
Glitchy  mokka vfx... Idhuka டா 600 கோடி... 🤣🤣🤣🤣🤣🤣,Glitchy mokka vfx... Idhuka டா 600 கோடி...,1,,True,True,42,7
Telugu Thailavar fans hit like button superstar,Telugu Thailavar fans hit like button superstar,0,,False,False,47,7
Kis Kia ko zero ka trailer Badiya laga esse like karo,Kis Kia ko zero ka trailer Badiya laga esse like karo,1,,False,True,53,11
Super trailer  pudhumai vettrimaran Danush vettri kootani,Super trailer pudhumai vettrimaran Danush vettri kootani,0,,False,False,56,7
no one can kill once idea     nikola tesla,no one can kill once idea nikola tesla,0,,False,False,38,8
U kena tunggu lama lagi ..untuk tahu saya...malaysian Language,U kena tunggu lama lagi ..untuk tahu saya...malaysian Language,4,,False,False,62,9
Ipo purinjirukum YERU SUPER STAR NU,Ipo purinjirukum YERU SUPER STAR NU,0,,False,False,35,6
Chiyaan anna yeppavum mass nu solravanga mattum like pannunga,Chiyaan anna yeppavum mass nu solravanga mattum like pannunga,0,,False,False,61,9
Bgm vera level Gv done his best,Bgm vera level Gv done his best,0,,False,False,31,7
Last dialogue: Oruthar mela viswasam kaaturathu kaga innoruthara en asinga paduthuringa  ULTIMATE THALA,Last dialogue Oruthar mela viswasam kaaturathu kaga innoruthara en asinga paduthuringa ULTIMATE THALA,0,,False,False,101,13
Thala   mass nah thala  thala nah mass,Thala mass nah thala thala nah mass,0,,False,False,35,7
Trailer na ipdi irukunam nu solravanga like here,Trailer na ipdi irukunam nu solravanga like here,0,,False,True,48,8
Enaku padame partha maari oru Feeling uuu,Enaku padame partha maari oru Feeling uuu,0,,False,False,41,7
BGM missing not powerful like SANA,BGM missing not powerful like SANA,1,,False,False,34,6
1000Koodi daw dhala thamass daw,1000Koodi daw dhala thamass daw,1,,False,False,31,5
THALAIVAAAAA PLEASE KEEP DOING MOVIES! YOUR MASS IS UNMATCHABLE!,THALAIVAAA PLEASE KEEP DOING MOVIES! YOUR MASS IS UNMATCHABLE!,0,,False,False,62,9
Oruthar mela viswasam katradhukaga innorthara en asinga paduthuringa. Thala.,Oruthar mela viswasam katradhukaga innorthara en asinga paduthuringa. Thala.,0,,False,False,76,9
Ethukku unlike poduvangalo.Central govt state govt thappa pesuna no unlike.,Ethukku unlike poduvangalo.Central govt state govt thappa pesuna no unlike.,1,,False,False,75,10
Rajini thaa style Rajini thaa gethu Rajini thaa masss Maranaaa maassss thalaivaaa,Rajini thaa style Rajini thaa gethu Rajini thaa masss Maranaaa maasss thalaivaaa,0,,False,False,80,12
Avara Contol Pannunga Pls...  Vera level expression...  Thala...,Avara Contol Pannunga Pls... Vera level expression... Thala...,0,,False,False,62,8
Aiyo thala fans like ah podunga d!!,Aiyo thala fans like ah podunga d!!,2,,False,False,35,7
Roma naal kalichi oru family kooda 3D Padam release aaga poudhu,Roma naal kalichi oru family kooda 3D Padam release aaga poudhu,0,,False,False,63,11
Trailer 2M likes varum nu soldravanga like it.,Trailer 2M likes varum nu soldravanga like it.,0,,False,False,46,8
THE KING OF TAMIL NADU THALA,THE KING OF TAMIL NADU THALA,0,,False,False,28,6
Pink movie!!! supr movie  thala blockbuster,Pink movie!!! supr movie thala blockbuster,2,,False,False,42,6
Net kinda paarvai theme music semaya irukku,Net kinda paarvai theme music semaya irukku,0,,False,False,43,7
Semma semma semma semma.......thala thala than......,Semma semma semma semma...thala thala than...,0,,False,False,45,6
Yuvan Shankar Raja music vera level,Yuvan Shankar Raja music vera level,0,,False,False,35,6
Rajni sir looking so..young wowwww 🤩,Rajni sir looking so..young wo,0,,False,False,30,5
Sinthanai &silai udaippu. Ltte  leader piraba Karan ah bro,Sinthanai silai udaippu. Ltte leader piraba Karan ah bro,0,,False,False,56,9
Come on guys let's get it to 2 million likes!!,Come on guys let's get it to 2 million likes!!,2,,False,False,46,10
Waiting for Judgement Day Nerkonda Paarvai Trailer Marana Mass THALAAAAAAAA.....‍,Waiting for Judgement Day Nerkonda Paarvai Trailer Marana Mass THALAAA...,0,,False,False,73,10
0:36  recalls vada chennai,0 36 recalls vada chennai,1,,False,False,25,5
In 2:00 you can see vasikaran transform,In 2 00 you can see vasikaran transform,1,,False,False,39,8
Vera vera vera vera vera vera Level.....,Vera vera vera vera vera vera Level...,0,,False,False,38,7
Comedy ya irukku....  Game of trone....  Paarunga da,Comedy ya irukku... Game of trone... Paarunga da,1,,False,True,48,8
Semma  vera  level thalamus,Semma vera level thalamus,2,,False,False,25,4
Pakka mass. Super. I had seen more than 5 times,Pakka mass. Super. I had seen more than 5 times,0,,False,False,47,10
Lokesh kanagaraj thalapathy film sign pannittu bigil kuda ve release panringa🤔,Lokesh kanagaraj thalapathy film sign pannittu bigil kuda ve release panringa,0,,False,False,77,11
thaaru maaru .. thakkali soru ...,thaaru maaru .. thakkali soru ...,0,,False,False,33,6
Makkal selvam vjs always mass pakka mass,Makkal selvam vjs always mass pakka mass,0,,False,False,40,7
Paadam paathu tu aparom thurupi trailer paakaravaga laa yaaru,Paadam paathu tu aparom thurupi trailer paakaravaga laa yaaru,0,,False,False,61,9
Colors Tamil serial set mari irruku,Colors Tamil serial set mari irruku,0,,False,False,35,6
Viswasama pettayila pongal sapda porom.....waiting both...,Viswasama pettayila pongal sapda porom...waiting both...,0,,False,False,56,6
THALA THALA THALA THALA THALA,THALA THALA THALA THALA THALA,0,,False,False,29,5
Lion King la tamil dubbing mufasaku vioce kuduthiruintha bayangrama iruthurukum.,Lion King la tamil dubbing mufasaku vioce kuduthiruintha bayangrama iruthurukum.,1,,False,True,80,10
Semmaiya irukinga thalaiva. Super trailer. Inthavaati Petta pongal,Semmaiya irukinga thalaiva. Super trailer. Inthavaati Petta pongal,0,,False,False,66,8
11M Views with 791k likes,11M Views with 791k likes,0,,False,False,25,5
sawudu tholanchi flim industrye kevalam paduthuran.,sawudu tholanchi flim industrye kevalam paduthuran.,1,,False,False,51,6
Viswasam trailer alavuku la illa pa,Viswasam trailer alavuku la illa pa,0,,False,True,35,6
Compare to kappaan Aduran is winderfull,Compare to kappaan Aduran is winderfull,0,,False,False,39,6
intha pongal sema super ah iruka pothu,intha pongal sema super ah iruka pothu,0,,False,False,38,7
So pore I don't like it,So pore I don't like it,1,,False,False,23,6
indha padamae ivlo mass ah irukae apo thalabathy 64 evlo  mass ah irukum,indha padamae ivlo mass ah irukae apo thalabathy 64 evlo mass ah irukum,0,,False,False,71,13
kisi ne isme kam nahi kiya bas kaputar se bani hai ye muvi,kisi ne isme kam nahi kiya bas kaputar se bani hai ye muvi,4,,False,False,58,13
2.O RAAJALI SONG GTA SAN ANDREAS VERSION :,2.O RAAJALI SONG GTA SAN ANDREAS VERSION,2,,False,False,40,7
Starting la sun picture kalanidhi maran than start agum indha padathula mattum Vera mathiri iruku,Starting la sun picture kalanidhi maran than start agum indha padathula mattum Vera mathiri iruku,3,,False,True,97,15
naalaiku thala darisanam wait panna mudiyala innaiku full ah nkp trailer paakravanga oru like a podunga,naalaiku thala darisanam wait panna mudiyala innaiku full ah nkp trailer paakravanga oru like a podunga,0,,False,False,103,16
Wow semma semma semma vera level thala,Wow semma semma semma vera level thala,0,,False,False,38,7
padam mokkaiya aga pothu nu nallavea theriyuthu,padam mokkaiya aga pothu nu nallavea theriyuthu,1,,False,False,47,7
Remake vijay sethupatgi sir movie in telugu plsss,Remake vijay sethupatgi sir movie in telugu plsss,3,,False,False,49,8
Intha vayasula orutha nadakarthe periya vishyam but THALAIVA neenga nadipu la maass katringale THALAIVA,Intha vayasula orutha nadakarthe periya vishyam but THALAIVA neenga nadipu la maass katringale THALAIVA,0,,False,True,103,14
Super star fans hit like only Rajni veriyans,Super star fans hit like only Rajni veriyans,3,,False,False,44,8
Ithanu Makkale Nadippu Naayagal Kandu Padicho,Ithanu Makkale Nadippu Naayagal Kandu Padicho,0,,False,False,45,6
Thala & U1 Combo Vera level,Thala U1 Combo Vera level,0,,False,False,25,5
Ajith Sir Last Dialogue Super.... Orutharu Mela Nega Vishvasam Kaatturathukku Unnoruthare Ean Asinga Paduthuringa ...Sema Thala....,Ajith Sir Last Dialogue Super... Orutharu Mela Nega Vishvasam Kaatturathukku Unnoruthare Ean Asinga Paduthuringa ...Sema Thala...,0,,False,False,129,16
Yennada sollame kollame release pantingo saamy trailer superb,Yennada sollame kollame release pantingo saamy trailer superb,0,,False,False,61,8
"2.0, KGF, Simbba & Petta","2.0, KGF, Simbba Petta",3,,False,False,22,4
Love from super star pritviraj fans kerala,Love from super star pritviraj fans kerala,0,,False,False,42,7
"Vada Chennai, adukalam alavuku Illa.... Average movie only...","Vada Chennai, adukalam alavuku Illa... Average movie only...",1,,False,False,60,8
1 million likes varumnu solravanga  podunga,1 million likes varumnu solravanga podunga,0,,False,False,42,6
2.19 redmi note 5 pro la edutha maari iruku clarity,2.19 redmi note 5 pro la edutha maari iruku clarity,1,,False,True,51,10
yr hindi me bnao vikram sir,yr hindi me bnao vikram sir,4,,False,False,27,6
cartoon padom patha maariyae oru beelingu,cartoon padom patha maariyae oru beelingu,1,,False,False,41,6
VISWASAM 1.3 MILLION LIKES NERKONDA PAARVAI ATHEYUM BEAT PANNUM NU NINAIKARAVANGA YAARU ?,VISWASAM 1.3 MILLION LIKES NERKONDA PAARVAI ATHEYUM BEAT PANNUM NU NINAIKARAVANGA YAARU ?,0,,False,False,89,13
Thala innu neraya neraya neraya venum....,Thala innu neraya neraya neraya venum...,0,,False,False,40,6
Itha patha hero padam mathiri illa,Itha patha hero padam mathiri illa,0,,False,False,34,6
Confirm flop Vijay Sethupathiku intha Maari padam set aagathu,Confirm flop Vijay Sethupathiku intha Maari padam set aagathu,1,,False,False,61,9
Who is best  Sk = like  Vijay =cmt,Who is best Sk like Vijay cmt,0,,False,False,29,7
Talaivar tirunelveli basha peurare gethu po,Talaivar tirunelveli basha peurare gethu po,0,,False,False,43,6
Vj sethupathi villain role marana mass,Vj sethupathi villain role marana mass,0,,False,False,38,6
2nd a.r.r.sam CS nu solravanga,2nd a.r.r.sam CS nu solravanga,3,,False,False,30,5
